bytes_per_iteration,cdf
59850720,0.005
59854856,0.0075
59854864,0.01
59857440,0.015
59857496,0.0175
59857504,0.02
59857736,0.025
59857744,0.03
59858216,0.0325
59858224,0.035
59858456,0.0375
59858464,0.04
59858880,0.045
59859416,0.0475
59859424,0.05
59859600,0.055
59859656,0.0575
59859664,0.06
59860376,0.065
59860384,0.07
59860616,0.075
59860624,0.08
59860800,0.085
59860856,0.0875
59860864,0.09
59861096,0.0925
59861104,0.095
59861280,0.1
59861336,0.1075
59861344,0.115
59861576,0.12
59861584,0.125
59861816,0.1275
59861824,0.13
59862056,0.135
59862064,0.14
59862296,0.145
59862304,0.15
59862536,0.1575
59862544,0.165
59862776,0.1675
59862784,0.17
59863016,0.1725
59863024,0.175
59863256,0.1775
59863264,0.18
59863496,0.185
59863504,0.19
59863736,0.195
59863744,0.2
59863920,0.205
59863976,0.21
59863984,0.215
59864160,0.22
59864216,0.2275
59864224,0.235
59864456,0.2425
59864464,0.25
59864640,0.255
59864696,0.26
59864704,0.265
59864936,0.275
59864944,0.285
59865120,0.29
59865176,0.295
59865184,0.3
59865416,0.3025
59865424,0.305
59865656,0.3125
59865664,0.32
59865896,0.3275
59865904,0.335
59866080,0.34
59866136,0.345
59866144,0.35
59866376,0.3525
59866384,0.355
59866616,0.365
59866624,0.375
59867096,0.38
59867104,0.385
59867336,0.3925
59867344,0.4
59867576,0.4125
59867584,0.425
59867816,0.435
59867824,0.445
59868056,0.455
59868064,0.465
59868296,0.4675
59868304,0.47
59868536,0.475
59868544,0.48
59868776,0.4875
59868784,0.495
59869016,0.5025
59869024,0.51
59869256,0.5175
59869264,0.525
59869496,0.5375
59869504,0.55
59869736,0.5625
59869744,0.575
59869976,0.5825
59869984,0.59
59870216,0.595
59870224,0.6
59870456,0.6125
59870464,0.625
59870696,0.63
59870704,0.635
59870936,0.6525
59870944,0.67
59871176,0.675
59871184,0.68
59871416,0.6875
59871424,0.695
59871656,0.705
59871664,0.715
59871896,0.72
59871904,0.725
59872136,0.7375
59872144,0.75
59872376,0.76
59872384,0.77
59872616,0.7775
59872624,0.785
59872856,0.7875
59872864,0.79
59873096,0.7975
59873104,0.805
59873336,0.81
59873344,0.815
59873576,0.82
59873584,0.825
59873816,0.8325
59873824,0.84
59874056,0.8425
59874064,0.845
59874296,0.8525
59874304,0.86
59874536,0.865
59874544,0.87
59874776,0.88
59874784,0.89
59875016,0.8925
59875024,0.895
59875256,0.9025
59875264,0.91
59875496,0.915
59875504,0.92
59875736,0.9325
59875744,0.945
59875976,0.95
59875984,0.955
59876216,0.9575
59876224,0.96
59876696,0.9625
59876704,0.965
59876936,0.97
59876944,0.975
59877176,0.9775
59877184,0.98
59877656,0.9825
59877664,0.985
59878136,0.9875
59878144,0.99
59878616,0.995
59878624,1.0
