bytes_per_iteration,cdf
178631760,0.03
178632480,0.035
178632960,0.04
178633200,0.045
178633920,0.05
178638480,0.11
178638536,0.1125
178638544,0.115
178638960,0.12
178639016,0.1225
178639024,0.125
178639200,0.18
178639256,0.24
178639264,0.3
178639976,0.3225
178639984,0.345
178640456,0.35
178640464,0.355
178640696,0.3775
178640704,0.4
178640936,0.4025
178640944,0.405
178645256,0.41
178645264,0.415
178645976,0.4925
178645984,0.57
178646696,0.785
178646704,0.99875
178646832,1.0
