bytes_per_iteration,cdf
31691280,0.005
31694216,0.01
31694224,0.015
31694456,0.0175
31694464,0.02
31694936,0.065
31694944,0.11
31695176,0.1125
31695184,0.115
31695896,0.1175
31695904,0.12
31697336,0.1225
31697344,0.125
31698056,0.19
31698064,0.255
31698776,0.3375
31698784,0.42
31699496,0.485
31699504,0.55
31700216,0.5625
31700224,0.575
31701120,0.58
31701656,0.585
31701664,0.59
31702376,0.5925
31702384,0.595
31702856,0.5975
31702864,0.6
31704536,0.6025
31704544,0.605
31704776,0.61
31704784,0.615
31705496,0.6225
31705504,0.63
31706456,0.6325
31706464,0.635
31708376,0.6375
31708384,0.64
31708616,0.6825
31708624,0.725
31709336,0.7825
31709344,0.84
31710056,0.875
31710064,0.91
31710776,0.9225
31710784,0.935
31712216,0.94
31712224,0.945
31712936,0.97
31712944,0.995
31713656,0.9975
31713664,1.0
