bytes_per_iteration,cdf
191875544,0.00125
191876160,0.00625
191876640,0.01125
191877360,0.02125
191877840,0.02625
191878320,0.03625
191879040,0.04125
191879520,0.04625
191879760,0.05625
191880000,0.06625
191880240,0.07125
191880480,0.10625
191880720,0.11125
191880776,0.11375
191880784,0.11625
191881200,0.14625
191881256,0.14875
191881264,0.15125
191881440,0.15625
191882216,0.15875
191882224,0.16125
191882456,0.16375
191882464,0.16625
191883896,0.17375
191883904,0.18125
191884136,0.18375
191884144,0.18625
191884376,0.19125
191884384,0.19625
191884616,0.19875
191884624,0.20125
191885096,0.21125
191885104,0.22125
191885120,0.2225
191885336,0.2425
191885344,0.2625
191885576,0.27
191885584,0.2775
191885816,0.285
191885824,0.2925
191886056,0.3
191886064,0.3075
191886296,0.3175
191886304,0.3275
191886536,0.3575
191886544,0.3875
191886776,0.395
191886784,0.4025
191887016,0.41
191887024,0.4175
191887256,0.4575
191887264,0.4975
191887440,0.5025
191887496,0.51
191887504,0.5175
191887736,0.5325
191887744,0.5475
191887976,0.62375
191887984,0.7
191888216,0.7175
191888224,0.735
191888456,0.7525
191888464,0.77
191888696,0.82
191888704,0.87
191888936,0.8825
191888944,0.895
191889416,0.905
191889424,0.915
191889656,0.925
191889664,0.935
191889896,0.94375
191889904,0.9525
191890136,0.9675
191890144,0.9825
191890376,0.9875
191890384,0.9925
191892768,0.99375
191894936,0.99625
191894944,0.99875
191902328,1.0
